caso,nodo_u,nodo_v,dist_km,SKR_bits_pulso,viable_QKD
España,Oria,Galera,36.48664773510605,0.0034981744169781267,True
España,Oria,Cúllar,27.118379356741798,0.005393972514505749,True
España,Oria,Puerto Lumbreras,43.607039217038604,0.0025177437100040116,True
España,Ejido (El),Nevada,30.89564953651643,0.004529538004842121,True
España,Ejido (El),Roquetas de Mar,17.659612379498682,0.008357652600111223,True
España,Ejido (El),Polopos,43.197626426406956,0.0025657976802571083,True
España,Ejido (El),Cádiar,37.88332281628328,0.003279589780616087,True
España,Gérgal,Nevada,44.51804574028108,0.002414023834056667,True
España,Gérgal,Uleila del Campo,30.507994499453794,0.004611443748469262,True
España,Gérgal,Roquetas de Mar,40.21404885547757,0.0029448567008895444,True
España,Gérgal,Níjar,34.117547790698175,0.0039028474543367202,True
España,Gérgal,Tíjola,26.485926531597546,0.005554101776269377,True
España,Gérgal,Tabernas,15.153579899013966,0.009387298418615379,True
España,Gérgal,Caniles,38.68495692434155,0.0031603669354382646,True
España,Nevada,Roquetas de Mar,44.31417077005816,0.002436857568263805,True
España,Nevada,Polopos,33.74815264755333,0.003970042444594962,True
España,Nevada,Cádiar,15.717138958437728,0.00914515085104561,True
España,Nevada,Purullena,38.52007592250232,0.0031845289114365736,True
España,Nevada,Valle del Zalabí,31.821449474192534,0.004339783273172835,True
España,Nevada,Jerez del Marquesado,24.067813369236802,0.0062115947189167915,True
España,Nevada,Órgiva,37.792308061108876,0.0032934076048568425,True
España,Uleila del Campo,Níjar,24.432931299102158,0.0061075231162651036,True
España,Uleila del Campo,Tíjola,27.41252225029096,0.005321085609330045,True
